
"click here to display the categories","haz clic aquí para mostrar las categorías"
"No Simulation","Sin simulación"
"Authorization soft decline","Rechazo parcial de la autorización"
"Authorization hard decline","Rechazo total de la autorización"
"Authorization timed out","Tiempo de espera de la autorización superado"
"Capture declined","Captura rechazada"
"Capture pending","Captura pendiente"
"Refund declined","Reembolso rechazado"
"Synchronous","Sincrónico"
"Asynchronous","Asincrónico"
"Synchronous if Possible","Sincrónico si es posible"
"Gold","Dorado"
"Light Gray","Gris claro"
"Dark Gray","Gris oscuro"
"Small","Pequeño"
"Medium","Mediano"
"Large","Grande"
"Extra Large","Extragrande"
"Login with Amazon / Amazon Pay","Login con Amazon / Amazon Pay"
"Login / Pay","Login / Pagar"
"Amazon Pay Logo","Logotipo de Amazon Pay"
"Charge on Shipment","Cargo del envío"
"Charge on Order","Cargo del pedido"
"Euro Region","Región de Europa"
"United Kingdom","Reino Unido"
"United States","Estados Unidos"
"Japan","Japón"
"Data Polling via Cron Job","Sondeo de datos mediante trabajo de Cron"
"Instant Payment Notifications","Notificaciones de pago inmediato"
"Amazon Pay","Amazon Pay"
"General","General"
"Credentials","Credenciales"
"Merchant Id","Identificador de vendedor"
"Access Key Id","ID de clave de acceso"
"Secret Access Key","Clave de acceso secreta"
"Client Id","Identificador del cliente"
"Client Secret","Secreto del cliente"
"Credentials JSON","JSON de credenciales"
"Payment Region","Región de pago"
"Sandbox","Sandbox"
"Allowed Javascript Origins","Orígenes JavaScript permitidos"
"Allowed Return URLs","URL retorno permitidas"
"Options","Opciones"
"Enable Amazon Pay","Activar Amazon Pay"
"Enable Login with Amazon","Activar Login con Amazon"
"Payment Action","Acción de pago"
"Authorization Mode","Modo de autorización"
"Update Mechanism","Actualizar mecanismo"
"Amazon Pay button is visible on Product Page","El botón Amazon Pay es visible en la página del producto"
"Advanced","Avanzado"
"Frontend","Página principal"
"Button Display Language","Idioma del botón"
"Controls button and widget language. The default is your shop's locale. Available options can be found <a href=""https://payments.amazon.co.uk/developer/documentation/lpwa/201953980#ENTER_LANGUAGE_PARAMETER"">here</a>.","Idioma del botón de controles y el widget. El valor predeterminado es el idioma de tu sitio web. Encontrarás las opciones disponibles <a href=""https://payments.amazon.co.uk/developer/documentation/lpwa/201953980#ENTER_LANGUAGE_PARAMETER"">aquí</a>."
"Button Color","Color del botón"
"Button Size","Tamaño del botón"
"Sales Options","Opciones de ventas"
"New Order Status","Estado de nuevo pedido"
"Sales Exclusions","Exclusiones de ventas"
"Is Packing Stations Terms Validation Enabled","¿Está activada la validación de los términos de las estaciones de embalaje?"
"Packing Stations Terms","Términos de las estaciones de embalaje"
"A comma-separated list of case-insensitive terms which will be used to check whether a Customer Address is a locker or packing station.","Una lista separada por comas de términos con distinción de mayúsculas que se usará para comprobar si la dirección de un cliente es una taquilla o estación de embalaje."
"Excluded Categories","Categorías excluidas"
"The ""Amazon Pay"" button will not be available for products of the selected categories.","El botón Amazon Pay no estará disponible para los productos de ciertas categorías."
"Developer Options","Opciones para desarrolladores"
"Logging","Inicio de sesión"
"Allowed IPs","IP permitidas"
"Comma separated. The ""Login with Amazon"" and ""Amazon Pay"" buttons will <em>only</em> be rendered for clients having the above IPs.
                            If the field is empty, the buttons will be visible to all clients.","Separado por comas. Los botones Login con Amazon y Amazon Pay se mostrarán <em>sólo</em> a los clientes que utilicen las IP anteriores.
                            Si el campo está vacío, los botones serán visibles para todos los clientes."
"Module version","Versión del módulo"
"--","--"
